post_id,user_id,text,label,post_length,avg_sentiment,num_likes,num_shares,num_reports,user_posts,user_friends,response_time,toxicity_score
p0039,u139,"Keep going, you’re doing amazing!",non-bullying,5,0.9,39,7,0,255,517,4.95,0.18
p0040,u140,You're nothing but a failure.,bullying,5,-0.96,3,2,2,165,23,3.15,0.83
p0041,u141,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.91,34,4,0,404,615,1.41,0.1
p0042,u142,You're ugly and worthless.,bullying,4,-0.67,8,2,3,482,171,1.35,0.88
p0043,u143,Congrats on your success! Keep shining.,non-bullying,6,0.54,94,3,0,465,438,0.79,0.03
p0044,u144,Nobody wants to be around you.,bullying,6,-0.66,3,1,2,287,184,4.39,0.71
p0045,u145,Congrats on your success! Keep shining.,non-bullying,6,0.43,71,8,0,225,602,3.38,0.09
p0046,u146,"Just disappear, nobody will miss you.",bullying,6,-0.66,10,0,3,495,871,0.24,0.85
p0047,u147,"Keep going, you’re doing amazing!",non-bullying,5,0.37,88,17,0,111,773,4.69,0.05
p0048,u148,"Just disappear, nobody will miss you.",bullying,6,-0.61,0,0,4,125,242,3.48,0.93
p0049,u149,Wishing you all the best in your exams.,non-bullying,8,0.75,96,7,0,368,104,3.05,0.12
p0050,u150,"You’re a joke, nobody cares about you.",bullying,7,-0.59,1,2,4,151,909,1.74,0.95
p0051,u151,Your positivity inspires everyone around you.,non-bullying,6,0.45,83,20,0,133,142,4.05,0.2
p0052,u152,Why are you always so dumb?,bullying,6,-0.56,7,1,4,447,417,4.15,0.94
p0053,u153,"Great job on your project, well done!",non-bullying,7,0.36,81,4,0,441,377,4.28,0.15
p0054,u154,"You're annoying, everyone hates you.",bullying,5,-0.6,0,1,3,361,683,4.82,0.97
p0055,u155,You are really talented and hardworking.,non-bullying,6,0.66,74,9,0,113,671,2.02,0.09
p0056,u156,You're nothing but a failure.,bullying,5,-0.86,0,2,1,411,326,0.72,0.93
p0057,u157,Thanks for helping me yesterday!,non-bullying,5,0.48,32,12,0,446,331,1.66,0.22
p0058,u158,"You’re such a loser, nobody likes you.",bullying,7,-0.62,9,0,1,147,425,1.25,0.77
p0059,u159,You are really talented and hardworking.,non-bullying,6,0.81,57,18,0,66,439,3.29,0.13
p0060,u160,"Just disappear, nobody will miss you.",bullying,6,-0.82,10,2,1,246,625,4.75,0.79
p0061,u161,You are really talented and hardworking.,non-bullying,6,0.3,91,17,0,231,467,0.53,0.08
p0062,u162,"You’re such a loser, nobody likes you.",bullying,7,-0.85,4,2,4,398,316,0.64,0.81
p0063,u163,You are really talented and hardworking.,non-bullying,6,0.79,55,16,0,231,797,3.56,0.21
p0064,u164,"You’re a joke, nobody cares about you.",bullying,7,-0.83,7,0,1,144,836,1.39,0.79
p0065,u165,"That was an amazing performance, bravo!",non-bullying,6,0.49,89,12,0,206,423,1.93,0.14
p0066,u166,"You're annoying, everyone hates you.",bullying,5,-0.55,6,2,3,221,48,0.16,0.72
p0067,u167,You are really talented and hardworking.,non-bullying,6,0.33,89,8,0,407,785,0.79,0.1
p0068,u168,"You’re a joke, nobody cares about you.",bullying,7,-0.59,10,2,3,174,389,3.29,0.96
p0069,u169,Congrats on your success! Keep shining.,non-bullying,6,0.46,2,17,0,345,998,0.34,0.1
p0070,u170,You're ugly and worthless.,bullying,4,-0.73,7,2,1,88,627,1.56,0.75
p0071,u171,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.75,71,10,0,369,728,2.05,0.19
p0072,u172,"Just disappear, nobody will miss you.",bullying,6,-0.58,2,2,2,229,906,4.25,0.81
p0073,u173,Thanks for helping me yesterday!,non-bullying,5,0.89,97,16,0,178,379,4.46,0.21
p0074,u174,You're ugly and worthless.,bullying,4,-0.95,3,0,4,199,264,3.38,0.97
p0075,u175,Wishing you all the best in your exams.,non-bullying,8,0.36,78,5,0,190,865,1.97,0.29
p0076,u176,Nobody wants to be around you.,bullying,6,-0.52,6,2,4,165,62,1.53,0.9
p0077,u177,"Nice work team, proud of you!",non-bullying,6,0.69,87,13,0,135,684,3.33,0.18
p0078,u178,Nobody wants to be around you.,bullying,6,-0.61,5,2,3,460,399,1.62,0.89
p0079,u179,"Great job on your project, well done!",non-bullying,7,0.93,68,12,0,415,326,4.68,0.19
p0080,u180,You're nothing but a failure.,bullying,5,-0.69,8,1,1,268,35,2.68,0.88
p0081,u181,Thanks for helping me yesterday!,non-bullying,5,0.72,71,7,0,142,532,1.35,0.25
p0082,u182,"Nobody respects you, just stop.",bullying,5,-0.86,9,1,3,53,782,1.7,0.72
p0083,u183,"That was an amazing performance, bravo!",non-bullying,6,0.72,58,13,0,328,616,0.93,0.01
p0084,u184,Nobody wants to be around you.,bullying,6,-0.78,5,2,2,371,746,1.34,0.82
p0085,u185,"Keep going, you’re doing amazing!",non-bullying,5,0.58,58,2,0,172,176,1.19,0.27
p0086,u186,You're ugly and worthless.,bullying,4,-0.76,5,0,2,131,889,3.48,0.72
p0087,u187,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.33,14,13,0,84,300,3.32,0.13
p0088,u188,"You’re such a loser, nobody likes you.",bullying,7,-0.81,8,2,1,206,698,0.49,0.83
p0089,u189,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.84,85,7,0,494,940,2.22,0.16
p0090,u190,Nobody wants to be around you.,bullying,6,-0.96,10,0,4,55,826,3.98,0.72
p0091,u191,Your positivity inspires everyone around you.,non-bullying,6,0.33,46,16,0,438,327,4.05,0.28
p0092,u192,You're nothing but a failure.,bullying,5,-0.79,7,2,4,466,80,4.93,0.78
p0093,u193,"That was an amazing performance, bravo!",non-bullying,6,0.4,81,5,0,431,462,0.8,0.04
p0094,u194,Nobody wants to be around you.,bullying,6,-0.83,8,0,3,126,524,3.97,0.92
p0095,u195,"Keep going, you’re doing amazing!",non-bullying,5,0.44,4,13,0,470,637,3.81,0.22
p0096,u196,Nobody wants to be around you.,bullying,6,-0.82,5,0,2,474,995,3.94,0.93
p0097,u197,"Keep going, you’re doing amazing!",non-bullying,5,0.43,46,17,0,82,126,0.11,0.29
p0098,u198,"You're annoying, everyone hates you.",bullying,5,-0.59,6,0,4,223,168,1.28,0.7
p0099,u199,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.96,98,7,0,226,655,4.85,0.18
p0100,u200,"You’re a joke, nobody cares about you.",bullying,7,-0.55,10,2,2,371,80,0.55,0.9
p0101,u201,"Nice work team, proud of you!",non-bullying,6,0.56,14,1,0,98,330,4.85,0.06
p0102,u202,"Pathetic, you should just quit.",bullying,5,-0.95,2,1,5,243,569,4.14,0.72
p0103,u203,"Nice work team, proud of you!",non-bullying,6,0.48,28,1,0,405,565,3.73,0.26
p0104,u204,"You’re a joke, nobody cares about you.",bullying,7,-0.67,6,0,3,399,601,2.95,0.81
p0105,u205,Wishing you all the best in your exams.,non-bullying,8,0.89,91,8,0,261,513,0.89,0.09
p0106,u206,You're nothing but a failure.,bullying,5,-0.89,0,2,5,321,299,0.53,0.9
p0107,u207,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.68,87,18,0,249,51,0.28,0.01
p0108,u208,"You're annoying, everyone hates you.",bullying,5,-0.83,6,0,1,173,687,3.0,0.96
p0109,u209,Congrats on your success! Keep shining.,non-bullying,6,0.91,41,14,0,162,385,2.64,0.04
p0110,u210,"Just disappear, nobody will miss you.",bullying,6,-0.64,4,2,3,418,974,3.49,0.87
p0111,u211,You are really talented and hardworking.,non-bullying,6,0.42,54,18,0,476,351,3.15,0.04
p0112,u212,You're nothing but a failure.,bullying,5,-0.63,7,2,2,426,74,1.38,0.79
p0113,u213,"Nice work team, proud of you!",non-bullying,6,0.4,10,6,0,489,737,2.11,0.19
p0114,u214,You're nothing but a failure.,bullying,5,-0.63,6,2,5,304,330,2.4,0.89
p0115,u215,"Great job on your project, well done!",non-bullying,7,0.85,100,17,0,418,721,3.01,0.22
p0116,u216,"You’re a joke, nobody cares about you.",bullying,7,-0.97,4,1,5,115,797,1.64,0.89
p0117,u217,Congrats on your success! Keep shining.,non-bullying,6,0.87,1,8,0,176,253,0.98,0.14
p0118,u218,"You’re such a loser, nobody likes you.",bullying,7,-0.65,0,1,4,79,435,0.45,0.76
p0119,u219,"Nice work team, proud of you!",non-bullying,6,0.75,11,9,0,344,422,0.92,0.12
p0120,u220,"Just disappear, nobody will miss you.",bullying,6,-0.77,9,0,4,98,690,3.1,0.79
p0121,u221,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.54,36,16,0,105,103,0.7,0.11
p0122,u222,"You're annoying, everyone hates you.",bullying,5,-0.59,0,2,1,415,854,1.78,0.97
p0123,u223,"Great job on your project, well done!",non-bullying,7,0.81,90,7,0,79,672,2.83,0.22
p0124,u224,"You’re a joke, nobody cares about you.",bullying,7,-0.89,1,0,3,300,713,0.84,1.0
p0125,u225,"Keep going, you’re doing amazing!",non-bullying,5,0.91,53,14,0,258,216,3.28,0.06
p0126,u226,"Nobody respects you, just stop.",bullying,5,-0.93,3,1,1,259,184,0.86,0.74
p0127,u227,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.35,62,3,0,224,596,1.85,0.28
p0128,u228,"You're annoying, everyone hates you.",bullying,5,-0.58,1,0,2,404,865,2.86,0.75
p0129,u229,"That was an amazing performance, bravo!",non-bullying,6,0.41,18,6,0,471,815,1.63,0.3
p0130,u230,Why are you always so dumb?,bullying,6,-0.58,9,2,3,307,962,2.66,0.82
p0131,u231,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.71,34,15,0,405,975,3.71,0.27
p0132,u232,You're ugly and worthless.,bullying,4,-0.81,1,0,5,388,521,3.86,0.7
p0133,u233,You are really talented and hardworking.,non-bullying,6,0.78,88,2,0,154,474,1.5,0.11
p0134,u234,"Nobody respects you, just stop.",bullying,5,-0.79,7,1,1,441,971,0.51,0.88
p0135,u235,You are really talented and hardworking.,non-bullying,6,0.46,77,18,0,123,291,3.42,0.2
p0136,u236,You're nothing but a failure.,bullying,5,-0.92,5,1,5,80,748,0.16,0.88
p0137,u237,You are really talented and hardworking.,non-bullying,6,0.48,31,14,0,495,588,2.93,0.22
p0138,u238,"You’re such a loser, nobody likes you.",bullying,7,-0.69,1,1,5,287,21,0.64,0.7
p0139,u239,Congrats on your success! Keep shining.,non-bullying,6,0.75,6,15,0,343,896,1.47,0.09
p0140,u240,Why are you always so dumb?,bullying,6,-0.69,4,0,1,310,247,3.78,0.7
p0141,u241,Your positivity inspires everyone around you.,non-bullying,6,0.96,88,15,0,147,614,4.64,0.14
p0142,u242,"Nobody respects you, just stop.",bullying,5,-0.57,10,2,2,159,110,2.17,0.8
p0143,u243,Congrats on your success! Keep shining.,non-bullying,6,0.97,92,17,0,187,613,2.65,0.03
p0144,u244,You're ugly and worthless.,bullying,4,-0.73,5,0,3,319,86,0.68,0.92
p0145,u245,You are really talented and hardworking.,non-bullying,6,0.62,39,6,0,101,988,4.14,0.1
p0146,u246,"You're annoying, everyone hates you.",bullying,5,-0.85,7,2,5,168,655,0.47,0.8
p0147,u247,Congrats on your success! Keep shining.,non-bullying,6,0.74,7,17,0,400,441,2.57,0.21
p0148,u248,"Just disappear, nobody will miss you.",bullying,6,-0.88,0,2,2,499,329,1.41,0.78
p0149,u249,"That was an amazing performance, bravo!",non-bullying,6,0.82,4,18,0,200,855,4.02,0.02
p0150,u250,"You’re a joke, nobody cares about you.",bullying,7,-0.71,4,0,2,376,364,0.99,0.87
p0151,u251,"Keep going, you’re doing amazing!",non-bullying,5,0.46,46,7,0,201,346,0.39,0.2
p0152,u252,Nobody wants to be around you.,bullying,6,-0.84,2,0,3,98,332,2.03,0.92
p0153,u253,You are really talented and hardworking.,non-bullying,6,0.39,75,17,0,251,559,2.57,0.21
p0154,u254,"You’re a joke, nobody cares about you.",bullying,7,-0.59,9,2,5,52,478,1.95,0.85
p0155,u255,Wishing you all the best in your exams.,non-bullying,8,0.61,63,5,0,429,739,1.02,0.28
p0156,u256,Why are you always so dumb?,bullying,6,-0.73,5,2,1,193,372,2.44,0.99
p0157,u257,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.8,35,8,0,64,177,2.74,0.29
p0158,u258,"Pathetic, you should just quit.",bullying,5,-0.96,3,2,5,370,824,0.26,0.78
p0159,u259,Congrats on your success! Keep shining.,non-bullying,6,0.67,9,8,0,184,832,0.27,0.21
p0160,u260,"You're annoying, everyone hates you.",bullying,5,-0.85,8,2,4,445,178,0.44,0.98
p0161,u261,"That was an amazing performance, bravo!",non-bullying,6,0.68,72,3,0,326,502,4.32,0.07
p0162,u262,"You’re a joke, nobody cares about you.",bullying,7,-0.67,7,0,5,237,711,4.99,0.77
p0163,u263,"That was an amazing performance, bravo!",non-bullying,6,0.75,83,0,0,443,916,3.74,0.19
p0164,u264,"You’re a joke, nobody cares about you.",bullying,7,-0.81,2,0,5,357,620,1.9,0.98
p0165,u265,Wishing you all the best in your exams.,non-bullying,8,0.43,71,6,0,303,61,3.84,0.06
p0166,u266,"Nobody respects you, just stop.",bullying,5,-1.0,9,0,1,334,13,3.01,0.9
p0167,u267,Your positivity inspires everyone around you.,non-bullying,6,0.61,10,1,0,125,510,0.45,0.1
p0168,u268,You're nothing but a failure.,bullying,5,-0.64,9,1,5,477,353,2.03,0.76
p0169,u269,"Great job on your project, well done!",non-bullying,7,0.73,75,7,0,83,160,3.23,0.19
p0170,u270,Why are you always so dumb?,bullying,6,-0.77,8,0,2,239,884,2.75,0.73
p0171,u271,Congrats on your success! Keep shining.,non-bullying,6,0.59,56,5,0,60,505,2.39,0.08
p0172,u272,"Pathetic, you should just quit.",bullying,5,-0.8,2,0,5,125,74,2.97,0.92
p0173,u273,Congrats on your success! Keep shining.,non-bullying,6,0.76,90,19,0,302,478,4.43,0.06
p0174,u274,Why are you always so dumb?,bullying,6,-0.59,4,2,2,161,873,3.77,0.8
p0175,u275,"Happy birthday, hope you have a wonderful day!",non-bullying,8,0.56,91,20,0,174,942,3.86,0.09
p0176,u276,"You're annoying, everyone hates you.",bullying,5,-0.96,4,2,2,101,396,3.84,0.71
p0177,u277,Congrats on your success! Keep shining.,non-bullying,6,0.54,87,10,0,225,836,1.31,0.04
p0178,u278,"You’re a joke, nobody cares about you.",bullying,7,-0.74,4,1,5,296,681,4.49,0.75
p0179,u279,"That was an amazing performance, bravo!",non-bullying,6,0.45,54,5,0,379,376,4.1,0.11
p0180,u280,You're ugly and worthless.,bullying,4,-0.5,9,1,1,92,404,2.61,0.76
p0181,u281,"That was an amazing performance, bravo!",non-bullying,6,0.65,6,13,0,272,945,4.03,0.29
p0182,u282,Why are you always so dumb?,bullying,6,-0.86,10,0,2,394,391,2.77,0.93
p0183,u283,Wishing you all the best in your exams.,non-bullying,8,0.92,17,10,0,83,849,0.24,0.12
p0184,u284,"Nobody respects you, just stop.",bullying,5,-0.62,2,1,1,488,83,4.63,0.96
p0185,u285,Wishing you all the best in your exams.,non-bullying,8,0.78,74,0,0,55,277,4.31,0.16
p0186,u286,Why are you always so dumb?,bullying,6,-0.71,6,0,4,497,695,1.29,0.88
p0187,u287,Thanks for helping me yesterday!,non-bullying,5,0.93,3,9,0,124,819,4.18,0.29
p0188,u288,Nobody wants to be around you.,bullying,6,-0.58,10,1,1,180,283,1.29,0.84
p0189,u289,Congrats on your success! Keep shining.,non-bullying,6,0.6,58,7,0,210,249,1.52,0.18
p0190,u290,"You’re such a loser, nobody likes you.",bullying,7,-0.94,4,0,5,97,40,3.7,0.85
p0191,u291,"Great job on your project, well done!",non-bullying,7,0.36,54,4,0,312,861,3.97,0.19
p0192,u292,"You’re a joke, nobody cares about you.",bullying,7,-0.74,2,2,5,358,887,2.11,0.71
p0193,u293,"Keep going, you’re doing amazing!",non-bullying,5,0.87,80,16,0,436,697,1.79,0.21
p0194,u294,"You're annoying, everyone hates you.",bullying,5,-0.69,1,1,3,179,363,2.65,0.99
p0195,u295,"That was an amazing performance, bravo!",non-bullying,6,0.94,91,14,0,228,568,2.25,0.29
p0196,u296,Why are you always so dumb?,bullying,6,-0.88,3,2,3,114,79,3.83,0.96
p0197,u297,Congrats on your success! Keep shining.,non-bullying,6,0.96,39,7,0,447,313,1.64,0.16
p0198,u298,You're nothing but a failure.,bullying,5,-0.54,9,1,4,209,859,2.78,0.89
p0199,u299,Your positivity inspires everyone around you.,non-bullying,6,0.55,29,13,0,181,827,1.74,0.05
p0200,u300,Nobody wants to be around you.,bullying,6,-0.73,4,1,2,463,328,4.86,0.89
p0201,u301,"Great job on your project, well done!",non-bullying,7,0.34,77,7,0,386,72,1.95,0.24
p0202,u302,"You’re a joke, nobody cares about you.",bullying,7,-0.75,5,1,1,203,72,0.2,0.74
p0203,u303,"That was an amazing performance, bravo!",non-bullying,6,0.63,47,15,0,180,475,4.89,0.05
p0204,u304,Nobody wants to be around you.,bullying,6,-0.68,8,1,5,426,388,1.9,0.77
p0205,u305,"Keep going, you’re doing amazing!",non-bullying,5,0.33,88,16,0,402,504,4.95,0.28
p0206,u306,"Nobody respects you, just stop.",bullying,5,-0.63,6,1,3,324,787,4.0,0.9
p0207,u307,Thanks for helping me yesterday!,non-bullying,5,0.65,13,9,0,245,640,4.65,0.0
p0208,u308,Why are you always so dumb?,bullying,6,-0.72,7,0,2,371,945,2.2,0.96
p0209,u309,Your positivity inspires everyone around you.,non-bullying,6,0.77,65,3,0,135,268,4.83,0.07
p0210,u310,"You’re such a loser, nobody likes you.",bullying,7,-0.55,0,1,3,159,633,2.33,0.96
p0211,u311,"Keep going, you’re doing amazing!",non-bullying,5,0.92,28,7,0,487,639,4.37,0.12
p0212,u312,Nobody wants to be around you.,bullying,6,-0.7,5,2,4,50,883,2.59,0.83
p0213,u313,You are really talented and hardworking.,non-bullying,6,0.34,21,8,0,210,569,1.86,0.24
p0214,u314,Why are you always so dumb?,bullying,6,-0.75,10,0,2,470,536,4.53,0.8
p0215,u315,"Nice work team, proud of you!",non-bullying,6,0.53,39,2,0,327,351,1.97,0.11
p0216,u316,"Nobody respects you, just stop.",bullying,5,-0.83,6,1,2,133,560,1.5,0.77
p0217,u317,"Nice work team, proud of you!",non-bullying,6,0.64,44,8,0,152,667,1.96,0.19
p0218,u318,You're ugly and worthless.,bullying,4,-0.98,9,2,2,424,773,4.58,0.85
p0219,u319,"Keep going, you’re doing amazing!",non-bullying,5,0.4,53,6,0,453,72,4.72,0.11
p0220,u320,"You’re a joke, nobody cares about you.",bullying,7,-0.71,10,2,3,377,627,1.25,0.95
p0221,u321,"Great job on your project, well done!",non-bullying,7,0.96,83,7,0,102,30,0.72,0.04
p0222,u322,"Nobody respects you, just stop.",bullying,5,-0.83,3,1,3,366,313,0.17,0.87
p0223,u323,"Great job on your project, well done!",non-bullying,7,0.96,65,3,0,351,785,3.22,0.04
p0224,u324,"Nobody respects you, just stop.",bullying,5,-0.79,8,2,4,159,720,0.29,0.89
p0225,u325,You are really talented and hardworking.,non-bullying,6,0.84,92,4,0,413,536,3.02,0.17
p0226,u326,"You're annoying, everyone hates you.",bullying,5,-0.71,9,2,3,289,466,0.51,0.96
p0227,u327,"That was an amazing performance, bravo!",non-bullying,6,0.61,28,20,0,271,161,2.6,0.24
p0228,u328,Nobody wants to be around you.,bullying,6,-0.68,3,1,2,225,817,4.79,0.9
p0229,u329,"Keep going, you’re doing amazing!",non-bullying,5,0.6,60,17,0,281,755,3.18,0.3
p0230,u330,"You're annoying, everyone hates you.",bullying,5,-0.84,6,2,5,344,527,4.87,0.91
p0231,u331,"That was an amazing performance, bravo!",non-bullying,6,0.66,75,8,0,268,705,3.91,0.07
p0232,u332,"Pathetic, you should just quit.",bullying,5,-0.59,1,1,5,271,796,4.52,0.78
p0233,u333,"That was an amazing performance, bravo!",non-bullying,6,0.37,69,18,0,203,926,2.18,0.22
p0234,u334,You're nothing but a failure.,bullying,5,-0.77,3,2,3,115,633,2.07,0.81
p0235,u335,Wishing you all the best in your exams.,non-bullying,8,0.56,55,9,0,414,251,0.36,0.04
p0236,u336,You're nothing but a failure.,bullying,5,-0.63,3,0,5,276,430,1.72,0.72
p0237,u337,Thanks for helping me yesterday!,non-bullying,5,0.83,70,3,0,172,120,3.9,0.09
p0238,u338,Why are you always so dumb?,bullying,6,-0.76,10,2,4,74,211,0.5,0.96
p0239,u339,"Nice work team, proud of you!",non-bullying,6,0.76,66,0,0,438,166,4.67,0.12
p0240,u340,"Nobody respects you, just stop.",bullying,5,-0.54,1,0,3,68,553,2.45,0.94
p0241,u341,"That was an amazing performance, bravo!",non-bullying,6,0.97,25,16,0,60,434,4.17,0.11
p0242,u342,Why are you always so dumb?,bullying,6,-0.71,9,1,3,101,803,0.52,0.93
p0243,u343,Wishing you all the best in your exams.,non-bullying,8,0.4,95,17,0,411,201,3.82,0.08
p0244,u344,"Pathetic, you should just quit.",bullying,5,-0.51,6,2,3,182,494,4.24,0.84
p0245,u345,"That was an amazing performance, bravo!",non-bullying,6,0.65,13,13,0,373,192,0.43,0.04
p0246,u346,"Just disappear, nobody will miss you.",bullying,6,-0.97,6,1,3,83,329,0.14,0.95
p0247,u347,"Keep going, you’re doing amazing!",non-bullying,5,0.32,19,5,0,174,596,4.73,0.28
p0248,u348,"Pathetic, you should just quit.",bullying,5,-0.66,4,0,4,342,384,0.48,0.86
p0249,u349,Congrats on your success! Keep shining.,non-bullying,6,0.54,80,15,0,450,734,0.11,0.3
p0250,u350,Nobody wants to be around you.,bullying,6,-0.77,8,2,4,379,471,2.59,0.7
p0251,u351,Your positivity inspires everyone around you.,non-bullying,6,0.62,83,3,0,272,258,1.77,0.19
p0252,u352,"You’re a joke, nobody cares about you.",bullying,7,-0.56,4,1,2,125,310,0.67,0.94
p0253,u353,Thanks for helping me yesterday!,non-bullying,5,0.52,43,15,0,55,405,4.74,0.24
p0254,u354,"You’re such a loser, nobody likes you.",bullying,7,-0.63,10,1,3,54,90,0.48,0.77
p0255,u355,Wishing you all the best in your exams.,non-bullying,8,0.65,15,9,0,376,795,4.7,0.1
p0256,u356,"Just disappear, nobody will miss you.",bullying,6,-0.6,7,1,2,460,756,4.22,0.72
p0257,u357,"Great job on your project, well done!",non-bullying,7,0.58,89,0,0,413,529,1.58,0.23
p0258,u358,Nobody wants to be around you.,bullying,6,-0.71,2,1,3,303,838,2.36,0.8
p0259,u359,"Great job on your project, well done!",non-bullying,7,0.66,100,14,0,133,237,1.44,0.0
p0260,u360,"You're annoying, everyone hates you.",bullying,5,-0.57,0,0,4,168,631,0.65,0.75
p0261,u361,"Nice work team, proud of you!",non-bullying,6,0.68,15,2,0,126,137,4.08,0.21
p0262,u362,You're nothing but a failure.,bullying,5,-0.93,3,2,1,158,974,4.85,0.9
p0263,u363,You are really talented and hardworking.,non-bullying,6,0.91,68,15,0,441,636,4.93,0.27
p0264,u364,You're ugly and worthless.,bullying,4,-0.96,10,2,2,203,518,3.97,0.97
p0265,u365,"Great job on your project, well done!",non-bullying,7,0.82,63,0,0,122,952,1.03,0.0
p0266,u366,"Just disappear, nobody will miss you.",bullying,6,-0.95,5,1,2,415,698,4.88,0.9
p0267,u367,Wishing you all the best in your exams.,non-bullying,8,0.66,49,11,0,269,960,0.88,0.26
p0268,u368,"Pathetic, you should just quit.",bullying,5,-0.55,10,2,2,122,587,2.44,0.72
p0269,u369,Your positivity inspires everyone around you.,non-bullying,6,0.77,2,10,0,441,441,2.72,0.1
p0270,u370,"Just disappear, nobody will miss you.",bullying,6,-0.99,1,2,2,392,840,4.1,0.91
p0271,u371,You are really talented and hardworking.,non-bullying,6,0.79,29,5,0,140,586,3.23,0.14
p0272,u372,You're nothing but a failure.,bullying,5,-0.63,3,2,3,437,32,2.21,0.86
p0273,u373,You are really talented and hardworking.,non-bullying,6,0.79,33,1,0,268,669,4.65,0.12
